BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
2012,2025,February,Chhattisgarh,Rural,Clothing and Footwear,Clothing,196.7,4.24
2012,2025,February,Chhattisgarh,Rural,Clothing and Footwear,Footwear,187,5.83
2012,2025,February,Chhattisgarh,Rural,Clothing and Footwear,*,195.6,4.43
2012,2025,February,Chhattisgarh,Rural,Fuel and Light,*,233,3.37
2012,2025,February,Chhattisgarh,Rural,Miscellaneous,Household Goods and Services,174,2.9
2012,2025,February,Chhattisgarh,Rural,Miscellaneous,Health,193.8,3.03
2012,2025,February,Chhattisgarh,Rural,Miscellaneous,Transport and Communication,161.9,3.92
2012,2025,February,Chhattisgarh,Rural,Miscellaneous,Education,164.6,0.73
2012,2025,February,Chhattisgarh,Rural,Miscellaneous,*,176.3,3.89
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,Cereals and Products,174.2,7.2
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,Meat and Fish,217.6,2.98
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,Egg,191.4,2.79
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,Fruits,183.8,7.3
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,Vegetables,207,0.19
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,Pulses and Products,226.1,5.9
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,Spices,209.3,1.01
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",200.4,4.38
2012,2025,February,Chhattisgarh,Urban,Food and Beverages,Non-alcoholic Beverages,157.4,3.08
